Gene	Alias
MALL	BENE
BLK	MGC10442
SLC35C2	C20orf5,OVCOV1,CGI-15,bA394O2.1
FABP2	I-FABP
RNGTT	HCE,HCE1,hCAP
AARD	LOC441376,C8orf85
ANTXR1	ATR,TEM8,FLJ10601,FLJ21776
PRR14L	C22orf30,MGC50372
HLA-DMA	D6S222E,RING6
FRS2	SNT-1,FRS2alpha,FRS2A,SNT1
GRK1	GPRK1,RK,RHOK
CA8	CALS,CARP
SGCE	DYT11
IPO5	MGC2068,KPNB3,RANBP5,IMB3,Pse1
CDCA8	FLJ12042,DasraB,BOR,MESRGP
CFAP43	WDR96,FLJ22944,C10orf79,bA373N18.2,FLJ36006
ATOH1	bHLHa14,HATH1,MATH-1,Math1
RNF25	FLJ13906,AO7
SF1	ZNF162,ZFM1,ZCCHC25
PNPT1	old-35,DFNB70,OLD35,PNPase
RNF149	FLJ90504
SPINK5	NS,FLJ97536,FLJ97596,DKFZp686K19184,NETS,FLJ99794,VAKTI,LETKI,FLJ21544,LEKTI
NDUFA12	B17.2,DAP13
KLK11	TLSP,PRSS20
GCK	HK4,MODY2
CKS1B	CKS1,ckshs1
SFTPD	SFTP4,COLEC7,SP-D
KATNAL2	MGC33211,DKFZP667C165
ARID1B	6A3-5,KIAA1235,ELD/OSA1,BAF250b,p250R,DAN15
CXorf40B	EOLA2
ZBBX	FLJ23049
IGFBP3	BP-53,IBP3
CHRNA1	CHRNA
MECR	NRBF1,CGI-63,FASN2B,ETR1
TMC8	EVER2,EVIN2
BATF2	MGC20410
FKBP8	FKBPr38,FKBP38
NBPF3	AE2
AP2M1	AP50,mu2,CLAPM1
C1orf127	FLJ37118
IFT46	FLJ21827,C11orf60,CFAP32,C11orf2
LTB4R2	JULF2,NOP9,BLT2,BLTR2
KNCN	FLJ32011,KINO,L5
ZC3H7A	HSPC055,ZC3HDC7,ZC3H7,FLJ20318
SARS	SARS1
EFCAB6	dJ185D5.1,KIAA1672,DJBP,HSCBCIP1,FLJ23588
MAATS1	C3orf15,CFAP91
VTI1B	VTI2
CCR8	CKR-L1,CMKBRL2,CDw198,TER1,GPR-CY6,CMKBR8,CY6
WBP1L	FLJ20154,OPAL1,C10orf26
ESRRG	ERR-gamma,ERRg,NR3B3
CIPC	KIAA1737
SOAT1	ACAT,STAT,SOAT
S1PR3	EDG3,EDG-3
SFTPC	SP-C,SMDP2,SFTP2,BRICD6,PSP-C
EBNA1BP2	EBP2,NOBP,P40
ADH4	ADH-2
RIBC1	FLJ32783
IL31	IL-31
ABRACL	C6orf115,Costars,HSPC280,PRO2013
PSORS1C2	SPR1,C6orf17
WRB	GET1
ST6GAL2	St6GalII,KIAA1877,SIAT2
ATL2	ARL6IP2
RPS2	LLREP3,S2
DYNC1I1	DNCIC1,DNCI1
GAD2	GAD65
PDXK	PNK,C21orf124,C21orf97,MGC15873,PRED79,PKH,FLJ31940,FLJ21324
ATP5D	ATP5F1D
RINL	FLJ45909
ASB11	DKFZp779E2460
PPAPDC2	PLPP6
SPACA5B	LYZL5B
HOXD10	HOX4,HOX4D
AP3S2	sigma3b
MT-CO1	COX1,MTCO1,COI
ADH7	ADH-4
LIME1	dJ583P15.4,FLJ20406,LIME
ZNF354B	FLJ25008,KID2
AKNAD1	MGC26989,C1orf62
GMFB	GMF
NT5C1B	CN-IB,AIRP
PATE2	LVLF3112,PATE-M,UNQ3112,C11orf38
QTRT1	TGT
TXNDC2	SPTRX1
ZNF783	DKFZp667J212
KPRP	C1orf45
SRGAP1	KIAA1304,ARHGAP13
KIAA0020	PUM3
CFC1	HTX2,CRYPTIC
PSMD11	MGC3844,Rpn6,p44.5,S9
ARHGAP31	CDGAP
C1orf198	FLJ16283,MGC10710,FLJ14525,FLJ38847,DKFZp667D152
RPRD1B	CREPT,FLJ44520,DKFZp434P0735,K-H,dJ1057B20.2,C20orf77,Kub5-Hera,NET60
ZSCAN20	KOX29,ZNF360,ZNF31
RPL19	L19,MGC71997,FLJ27452,DKFZp779D216
NR1I2	PXR,PAR2,BXR,SXR,ONR1
BMPR1A	ACVRLK3,CD292,ALK3
C11orf95	MGC3032
GADD45A	DDIT1,GADD45
CRADD	RAIDD
CCBE1	KIAA1983,FLJ30681
CHRDL2	BNF1
NT5C	UMPH2,PN-I,cdN,dNT-1,DNT1,DNT-1
SENP5	MGC27076
MAGEB10	FLJ32965
ZNF516	HsT287,KIAA0222
TNNI3	CMH7,CMD2A,TNNC1
MCTS1	MCT-1
CLYBL	CLB
KLK3	APS,PSA
SLC6A11	GAT3
ARHGAP35	GRLF1,KIAA1722,p190ARhoGAP,P190A,p190RhoGAP,GRF-1
CDKN2D	p19,INK4D
BRAT1	C7orf27,MGC22916,BAAT1
TM9SF2	P76
CLDN1	SEMP1,ILVASC
BCL11B	CTIP-2,CTIP2,hRIT1-alpha,ZNF856B
GNG13	G(gamma)13,h2-35
ART4	ARTC4,DO,CD297,DOK1
ADHFE1	FLJ32430
RNPEP	APB
ATXN1L	BOAT1
GJC2	SPG44,CX47,GJA12,CX46.6
PDE4A	DPDE2
WFDC13	C20orf138,dJ601O1.3,WAP13
PTBP2	PTB,brPTB,nPTB,PTBLP
TPRXL	TPRX3P,FLJ35107
PSMD2	P97,Rpn1,TRAP2,MGC14274,S2
LRFN5	SALM5,C14orf146,FIGLER8
HBA2	HBA-T2
BTBD9	KIAA1880,dJ322I12.1
DDX43	CT13,DKFZp434H2114,HAGE
AGBL2	CCP2,FLJ23598
INVS	NPHP2
SH3RF1	RNF142,KIAA1494,POSH,SH3MD2
ZBTB5	KIAA0354
MAFA	hMafA,RIPE3b1
SCN10A	hPN3,SNS,Nav1.8,PN3
AURKA	ARK1,AIK,STK6,STK7,PPP1R47,STK15,AurA,BTAK
PLXNB3	PLEXR,PLEXB3,PLXN6
DCLRE1B	SNM1B,APOLLO,FLJ12810,FLJ13998
GREB1	KIAA0575
AARS2	AARSL,KIAA1270,bA444E17.1
FAM13B	FAM13B1,ARHGAP49,KHCHP,C5orf5,N61
ANGPTL4	HFARP,ARP4,FIAF,pp1158,PGAR,NL2
TMCC2	HUCEP11,FLJ38497
VSTM2A	MGC33530,VSTM2
FARSA	CML33,FARSLA,FARSL
SRSF10	TASR2,SRrp40,TASR1,FUSIP1,SFRS13A,PPP1R149,FUSIP2,SRp38,SFRS13
IL22RA1	IL22R,CRF2-9
SF3B2	SAP145,Cus1,SF3b145,SF3b1
BRF2	FLJ11052,TFIIIB50,BRFU
PPP2CA	PP2Calpha,PP2AC
ST8SIA1	SIAT8,SIAT8A
TRPM6	HOMG,FLJ22628,HSH,CHAK2
RPS19	S19,DBA,eS19,LOH19CR1
SLX4IP	C20orf94,dJ1099D15.3
SEPT7	CDC10,SEPTIN7
SNX4	ATG24B
C8orf34	VEST1,vest-1
PURA	PUR-ALPHA,PUR1,PURALPHA
CAV3	LGMD1C,VIP21,LQT9,VIP-21
TRMT11	MDS024,C6orf75,TRM11,TRMT11-1,dJ187J11.2
SULT1A2	STP2,HAST4
CAMKMT	C2orf34,CLNMT
CHEK1	CHK1
EXT1	LGS,ttv,LGCR
HEXIM2	FLJ32384
IFRD2	IFNRP,SM15,SKMc15
DYRK1A	DYRK,DYRK1,MNBH
ANKRD20A1	DKFZp434A171,ANKRD20A
TCP10L2	bA517H2.3
RAB27A	RAM,GS2,HsT18676,RAB27
TELO2	hCLK2,TEL2,KIAA0683
ZBTB32	FAXF,TZFP,Rog,FAZF,ZNF538
HIST1H3I	H3C11,H3FF
CHN1	CHN,RhoGAP2,DURS2,n-chimerin,ARHGAP2
WDR3	DIP2,FLJ12796,UTP12
GALNT5	GalNAc-T5
PCDH17	PCDH68,PCH68
PTPN18	BDP1
ACOT2	Mte1,ZAP128
GPR152	PGR5
GPR89A	UNQ192
TGM5	TGMX,TGX
TMEM30B	CDC50B
PIN1	dod
OTOA	CT108,DFNB22
ATG4B	KIAA0943,AUTL1,APG4B,DKFZp586D1822,Apg4B
B9D1	MKSR-1,B9,EPPB9,MKS9
AHRR	AHHR,AHH,KIAA1234,bHLHe77
CACYBP	S100A6BP,SIP
VGF	SgVII,SCG7
GTPBP8	HSPC135
TTC37	KIAA0372,THES
CAMK2B	CAMK2,CaMKIIβ,CAM2,CAMKB
TMEM134	FLJ21749
DNAAF2	KTU,PF13,FLJ10563,CILD10,C14orf104
SHARPIN	SIPL1,DKFZP434N1923
LYPLA1	APT-1,LPL1
BCAS3	FLJ20128
PLGLB1	PLGL,PRP-B
C17orf74	SPEM2
TMEM161B	MGC33214
DNAJB7	HSC3
MT1G	MT1,MT1K
KCNK7	K2p7.1
DDIAS	C11orf82,FLJ38838,noxin,FLJ25416
ANXA10	ANX14
PNMAL2	PNMA8B
LAPTM4A	KIAA0108,MBNT,HUMORF13,LAPTM4,Mtrp
HSPA1L	HSP70-HOM,hum70t
TXK	TKL,PTK4,RLK,PSCTK5,BTKL
POLE	POLE1
SNX3	Grd19
PATE3	PATE-DJ,HEL-127
ALG12	ECM39,CDG1G
OR10G9	OR10G10P
NECAP2	FLJ10420
RFPL4AL1	RNF210B
GUCY1B3	GUCY1B1,GUC1B3
HNRNPH2	hnRNPH',FTP3,HNRPH',HNRPH2
SNRPA1	Lea1,U2A'
MFGE8	OAcGD3S,hP47,SED1,HsT19888,EDIL1,MFG-E8,BA46,SPAG10
BRCA2	FAD,FACD,BRCC2,FAD1,XRCC11,FANCD1,FANCD
FOXI2	FLJ46831
SLC6A12	BGT-1
PEBP1	HCNP,PEBP,RKIP,PBP
GYPB	CD235b,SS,MNS,GPB
PKD2L2	TRPP5
TAF7	TAF2F,TAFII55
CLVS2	C6orf213,bA160A10.4,C6orf212,RLBP1L2
SMC1A	Smcb,SMC1L1,KIAA0178,SB1.8,DXS423E
PNKD	MR-1,DKFZp564N1362,MR-1S,PKND1,KIAA1184,MGC31943,TAHCCP2,PDC,FKSG19,FPD1,BRP17,DYT8,KIPP1184
DRD5	DRD1B,DRD1L2
IL4	MGC79402,IL-4,BSF1,BCGF1,BCGF-1
RAPGEF2	DKFZP586O1422,RA-GEF,PDZ-GEF1,KIAA0313,PDZGEF1
NKX3-1	NKX3A,NKX3.1,BAPX2
RANGAP1	KIAA1835,Fug1,SD
NELFCD	NELF-D,HSPC130,NELF-C,TH1L,TH1
EIF5B	FLJ10524,DKFZp434I036,KIAA0741,IF2
TRPV3	VRL3
TGFBI	LCD1,CSD1,CDB1,CSD2,CSD3,BIGH3,CDGG1
HIST1H2AB	H2AC4,H2AFM
CT47A7	CT47.7
TNMD	BRICD4,tendin,ChM1L,TEM,myodulin
CENPE	KIF10,PPP1R61
CASP7	MCH3,CMH-1,ICE-LAP3
KNSTRN	kinastrin,TRAF4AF1,FLJ14502,SKAP,C15orf23
ABCB7	Atm1p,ASAT,EST140535,ABC7
DERA	DEOC,CGI-26
ARPC4	p20-Arc,ARC20
DPP10	DPRP3,DPL2,DPPY
C10orf35	FAM241B
HOXB3	HOX2,HOX2G
F9	FIX
PTCHD4	dJ402H5.2,FLJ41841,PTCH53,C6orf138
ATN1	B37,D12S755E,DRPLA
LRRC16A	CARMIL1,LRRC16
PUSL1	FLJ90811
SHROOM3	SHRM,APXL3,KIAA1481,ShrmL
PCDHB15	PCDH-BETA15
PAQR5	MPRG,FLJ20190
FAM26F	CALHM6,C6orf187
TCTE3	DYNLT2
C15orf59	INSYN1
RIMBP2	RBP2,KIAA0318,RIM-BP2,PPP1R133,MGC15831
TSKS	TSSKS,PPP1R161
OSBP2	OSBPL1,ORP4,KIAA1664,ORP-4
GLRX5	GRX5,PR01238,C14orf87
ECT2L	ARHGEF32,LFDH,FBXO49,C6orf91
CXCL10	crg-2,IFI10,gIP-10,IP-10,SCYB10,mob-1,C7,INP10
CARD10	BIMP1,CARMA3
EMC2	TTC35,KIAA0103
PGS1	DKFZP762M186
CEBPA	CEBP,C/EBP-alpha
ISCA2	HBLD1,ISA2
KIAA1429	VIRMA
KRT9	CK-9,K9,EPPK
DDX39B	UAP56,D6S81E,BAT1
SLC22A3	EMT,OCT3
UQCR10	HSPC051,QCR9,UCRC,UCCR7.2
PMCH	MCH
FAM221A	DKFZp686F0810,MGC72075,FLJ45875,C7orf46
AASS	LORSDH,LKRSDH
EPO	EP
ZNF813	FLJ16542
CDC5L	hCDC5,CDC5,PCDC5RP,CEF1
PROK1	PRK1,EGVEGF,PK1
PAGE2	CT16.4,MGC62094,GAGEC2,PAGE-2
SSBP1	SSBP,mtSSB
CIITA	C2TA,NLRA,MHC2TA
CCDC88C	KIAA1509,DAPLE,HkRP2,SCA40
KLF4	GKLF,EZF
LAMP5	UNC-46,BAD-LAMP,C20orf103,dJ1119D9.3
IFT52	NGD2,C20orf9,NGD5,CGI-53,dJ1028D15.1
C1orf112	FLJ10706
ORAOV1	LTO1
MAK16	MAK16L,RBM13
PPCDC	MDS018,FLJ14585
MAST1	SAST,KIAA0973
PLIN3	TIP47,M6PRBP1,PP17
ZNF627	FLJ90365
GLMN	VMGLOM,GVM,GLML,FKBPAP,FAP48
NTNG2	NTNG1,Lmnt2,KIAA1857
IL15	MGC9721,IL-15
ZRSR1	U2AFBPL,ZRSR2P1,U2AF1P,U2AF1L1
UPK1A	TSPAN21
MICU1	FLJ12684,EFHA3,CBARA1,CALC
ARMC4	FLJ10817,FLJ10376,gudu,DKFZP434P1735,CILD23
TNRC6A	KIAA1460,CAGH26,TNRC6,GW182
GSTCD	FLJ13273
RSRC1	MGC12197,SFRS21,BM-011,SRrp53
FAM195A	C16orf14,MCRIP2
ATG3	DKFZp564M1178,MGC15201,APG3L,PC3-96,FLJ22125
FAM134C	RETREG3
C4orf36	MGC26744
LRRC17	H_RG318M05.3,P37NB
RECQL4	RecQ4
FBXL14	MGC40195,Fbl14
HTN1	HIS1
SYT1	P65,SYT,SVP65
HNRNPR	HNRPR,hnRNP-R
BTNL3	BTN9.1,BTNLR
SLC25A44	FLJ90431,KIAA0446
CNTD1	FLJ40137,CNTD
FOXK2	ILF1,ILF
MGRN1	KIAA0544,RNF156
MR1	HLALS
FHL3	SLIM2
SLC6A3	DAT,DAT1
MGLL	HU-K5,MAGL,MGL
MLLT3	AF9,YEATS3,AF-9
SPAG9	PIG6,FLJ34602,HLC4,FLJ26141,KIAA0516,CT89,PHET,HSS,SYD1,MGC117291,JIP-4,JLP,FLJ13450,JIP4,MGC74461,MGC14967,FLJ14006
CA2	CA-II,Car2,CAII
RPS11	S11
JTB	PAR,hJT
JAM3	JAM-C,JAMC
CORO1B	coronin-2
CLIP2	CLIP-115,WSCR3,WSCR4,KIAA0291,WBSCR3,CYLN2,WBSCR4,CLIP
AACS	SUR-5,ACSF1,FLJ12389
WNT2B	XWNT2,WNT13
RBBP5	RBQ3,SWD1
DIP2A	Dip2,KIAA0184,C21orf106
WDR20	MGC33177,FLJ33659,DMR
DNTTIP2	ERBP,HSU15552,TdIF2
CDKN3	KAP,CDI1
PALMD	PALML,C1orf11,FLJ20271
FAM179A	TOGARAM2
TOP3A	TOP3,ZGRF7
TMEM8C	MYMK
MSMP	PSMP,PC-3
TRAF6	RNF85
ZMYND12	DKFZp434N2435
U2SURP	SR140,fSAPa
CA9	CAIX,MN
OR1Q1	OST226,OST226OR9-A,TPCR106,OR1Q3,HSTPCR106,OR1Q2,OR9-A
INO80D	FLJ20309
MIER3	FLJ35954,DKFZp686L09111,DKFZp781I1119
KCNH8	elk3,Kv12.1
TPP2	TPPII
VN1R4	V1RL4
SPHK1	SPHK
SOSTDC1	USAG1,DAND7,DKFZp564D206
ZNF397	ZSCAN15,ZNF47,MGC13250
ANGPTL7	AngX,CDT6
FAM179B	TOGARAM1,KIAA0423
NOP56	NOL5A,SCA36
PLAUR	CD87,URKR,UPAR
CDK15	PFTAIRE2,PFTK2,ALS2CR7
SMARCAL1	HARP,HHARP
ARMC6	MGC19595
WIZ	ZNF803
CCDC87	FLJ10786
NCOA6	AIB3,KIAA0181,RAP250,NRC,ASC2,PRIP,TRBP
NSD1	FLJ22263,STO,ARA267,KMT3B
TNFRSF4	TXGP1L,ACT35,OX40,CD134
PLA2G4F	PLA2G4F/Z
SLC25A3	PHC
NECAB2	EFCBP2
RBMS2	SCR3
NPY5R	NPYR5
CHMP4A	VPS32A,HSPC134,C14orf123
GPRASP1	GASP1,GASP
CRISP2	GAPDL5,TPX1,CRISP-2,CT36
BEND4	FLJ35632,FLJ43965,CCDC4
MRPL10	RPML8,L10MT,MRP-L8,MGC17973,MRPL8,MRP-L10
SVOP	DKFZp761H039
SPATA32	TEX34,VAD1.2,C17orf46,AEP2,FLJ25414
HSD17B1	EDH17B2,MGC138140,SDR28C1,EDHB17,HSD17
UBE4B	KIAA0684,E4,UBOX3,UFD2
DYNLRB1	ROBLD1,DNCL2A,DNLC2A
GTPBP3	GTPBG3,FLJ14700,MSS1,MTGP1,THDF1
ALKBH3	DEPC-1
LARS	LARS1
CPSF3	CPSF73,YSH1,CPSF-73
PPBP	CTAPIII,TGB,NAP-2-L1,MDGF,SCYB7,LA-PF4,Beta-TG,b-TG1,NAP-2,TGB1,CTAP3,PBP,THBGB1,LDGF,CXCL7
RTDR1	RSPH14
PNMA2	RGAG2,MA2
SSFA2	ITPRID2
PABPC5	PABP5
LAMA1	LAMA
RECQL5	RecQ5,FLJ90603
SIGMAR1	OPRS1,SR-BP1
YME1L1	YME1L
AHI1	JBTS3,FLJ20069,ORF1
SLC9A2	NHE2
DAZL	DAZH,MGC26406,SPGYLA,DAZL1,DAZLA
ZFP92	ZNF897
CCND1	D11S287E,PRAD1,BCL1,U21B31
MAP6	MAP6-N,FLJ41346,KIAA1878,STOP
FER1L6	C8ORFK23
SLC35G4P	AMAC1L1,SLC35G4
EFNA3	Ehk1-L,EPLG3,LERK3
HIST1H2AG	H2AFP,H2AC11
STAU2	39K2
SHROOM1	KIAA1960,APXL2
ATP2A3	SERCA3
ITGA5	CD49e,FNRA
UBE2V1	UEV-1,CROC1,CROC-1,UBE2V,UEV1A
CHRNE	ACHRE
RBM4	ZCCHC21,ZCRB3A,RBM4A,LARK
TRMT44	FLJ35725,METTL19,TRM44,C4orf23
FAM206A	ABITRAM,C9orf6
GLS	GLS1,KIAA0838
DDX28	FLJ11282,MDDX28
ZW10	KNTC1AP
LLGL2	HGL,Hugl-2
LYRM4	CGI-203,C6orf149,ISD11
TMEM45B	FLJ40787,BC016153
LRIF1	FLJ11269,RIF1,C1orf103
BLNK	BASH,bca,SLP-65,BLNK-s,Ly57,SLP65
WDR18	Ipi3
UQCRQ	QCR8,UQCR7,QP-C
NSMCE4A	FLJ20003,NSE4A,C10orf86,bA500G22.3
FHR2	HFL3,CFHL2,CFHR2
CYP51A1	CYP51,CYPL1,LDM,CP51,P450-14DM,P450L1
GMIP	ARHGAP46
GIMAP1	IMAP38,IAN2,HIMAP1,IMAP1
HIF3A	IPAS,PASD7,bHLHe17,MOP7
ZNF148	HT-BETA,BERF-1,ZFP148,ZBP-89,BFCOL1,pHZ-52
MB21D1	CGAS,C6orf150
EGR2	KROX20
CLEC3A	CLECSF1
PLXNA2	FLJ11751,KIAA0463,OCT,FLJ30634,PLXN2
HIF1A	HIF-1alpha,bHLHe78,PASD8,MOP1,HIF1
C2CD2	TMEM24L,C21orf258,C21orf25,DKFZP586F0422
ZNF446	ZKSCAN20,FLJ20626,ZSCAN52
VPS37D	WBSCR24,MGC35352
AHNAK2	C14orf78
PGAM5	MGC5352,BXLBv68
MVK	MK,LRBP
CD97	ADGRE5
LIF	CDF,HILDA,DIA
SEMA3B	semaV,LUCA-1,SEMAA,SemA,sema5
NCF2	p67phox,NOXA2
LRRC3	C21orf102,C21orf30,LRRC3DN,DKFZP434C128
CSRNP1	URAX1,TAIP-3,FAM130B,AXUD1,DKFZp566F164
AKR7A2	AFAR
LIAS	LAS
MYLIP	IDOL,MIR
TPRX1	FLJ40321
SH3BGRL	MGC117402
RARRES3	PLAAT4
MICALL2	MICAL-L2,JRAB,FLJ23471,MGC46023
ZFPM1	FOG,ZNF89A,ZC2HC11A,FOG1
FCER1A	FCE1A
C1GALT1C1	COSMC,C1GALT2
ICAM3	CDW50,CD50,ICAM-R
SPA17	SP17,CT22
NUB1	NYREN18,BS4,NUB1L
HESX1	RPX,ANF
WNT10B	SHFM6,WNT-12
DGCR2	IDD,DGS-C,KIAA0163,LAN,SEZ-12
PAPOLA	PAP
CREB3L3	CREB-H,CREBH
SLC2A3	GLUT3
SMCO1	DKFZp313B0440,C3orf43,FLJ41923
NEIL2	NEH2,MGC2832,FLJ31644,MGC4505
RPS28	eS28,S28
ARHGAP12	FLJ21785,FLJ20737,FLJ10971
TUBE1	dJ142L7.2,TUBE,FLJ22589
FOXO1	FKH1,FKHR,FOXO1A
OR1J4	HSHTPCRX01,HTPCRX01
C6orf165	CFAP206
C16orf89	MGC45438
SLC35A1	CMPST,hCST
KRTAP25-1	KAP25.1
USP49	MGC20741
RPUSD1	C16orf40,RLUCL,MGC19600
SMCP	MCSP
NMB	MGC2277,MGC3936,MGC17211
SDR9C7	RDHS,SDR-O
ADAMTSL1	FLJ35283,C9orf94,ADAMTSR1
MESDC2	MESD
SKA3	MGC4832,RAMA1,C13orf3
TSHZ1	NY-CO-33,SDCCAG33,TSH1
NOL10	FLJ14075,PQBP5
PPAP2A	PLPP1
ENKUR	C10orf63,CFAP106,enkurin,MGC26778
TGM1	ICR2,LI1,TGASE,LI,TGK
SETBP1	KIAA0437,SEB
ACTG1	DFNA26,ACTG,DFNA20
PHEX	HPDR,HYP1,HPDR1,XLH,HYP,PEX
AGAP14	CTGLF11P,AGAP14P
IGSF6	DORA
TERF2IP	RAP1
ZFHX3	FLJ26184,ATBF1,C16orf47,ZNF927
ZCRB1	ZCCHC19,RBM36,MADP1,SNRNP31,MADP-1
ATP2C2	KIAA0703,SPCA2
TMEM154	FLJ32028
MBLAC1	MGC49416
CBFB	PEBP2B
ANKRD26	KIAA1074,THC2
WAC	FLJ31290,MGC10753,PRO1741,Wwp4,BM-016
PSMG4	PAC4,C6orf86
ZNF658	MGC35232,FLJ32813,DKFZp572C163
IFNA5	IFN-alphaG
PNLDC1	dJ195P10.2,FLJ40240
STK39	SPAK,DCHT
MRPS10	FLJ10567
C7orf43	MAP11
KRT86	MNX,Hb6,KRTHB6
FGD1	ZFYVE3,FGDY
SLC30A1	ZRC1,ZNT1
RIMS3	NIM3,RIM3
DAD1	OST2
OR51D1	OR51D1Q
NCS1	NCS-1,FREQ
TFDP3	CT30,HCA661,E2F-like
ELAVL3	MGC20653,DKFZp547J036,PLE21,HUC,HUCL
KPNA4	SRP3,MGC12217,MGC26703,QIP1,IPOA3
RPS7	eS7,S7
RETNLB	FIZZ2,HXCP2,RELMb
MAML2	MAM3,KIAA1819
KRTAP10-6	KRTAP18.6,KAP10.6,KAP18.6,KRTAP18-6
DERL3	IZP6,C22orf14,MGC71803,FLJ43842,derlin-3
TRIM54	RNF30,MURF-3,MURF
SCUBE2	Cegf1,FLJ16792,Cegb1
GNA13	G13,MGC46138
TRPM1	LTRPC1,MLSN1,CSNB1C
VPS39	KIAA0770,VAM6
FOXJ2	FHX
UROC1	FLJ31300,HMFN0320
RPL10	QM,DXS648,L10,FLJ23544,DXS648E,NOV
STAB2	STAB-2,FELL,DKFZP434E0321,FEEL-2,HARE,SCARH1
SLC26A6	DKFZp586E1422
GALR1	GALNR,GALNR1
FNDC5	FRCP2
TMEM230	C20orf30,HSPC274
FGF7	KGF
OSR2	FLJ90037
CYP11B1	CYP11B,CPN1,P450C11,FHI
PYDC2	POP2
C10orf54	VSIR
CALML5	CLSP
ACER3	APHC,FLJ11238,PHCA
MAPKBP1	KIAA0596,NPHP20
RGL3	FLJ32585
DYNLRB2	DNLC2B,DNCL2B,ROBLD2
DYDC1	DPY30D1,bA36D19.5
OR1K1	hg99,MNAB
VNN1	Tiff66
DNAJC16	KIAA0962
PEAK1	KIAA2002,sgk269
SYT11	KIAA0080,MGC17226,DKFZp781D015,MGC10881
ARID5B	FLJ21150,MRF2
LYSMD4	FLJ33008
COMMD3	C10orf8,BUP
GRIP2	KIAA1719
HIST1H4I	H4FM,H4C9
TNFRSF1B	TNF-R75,TNFR80,CD120b,TNFBR,TNFR2,TNF-R-II,p75
C17orf78	FLJ39647
DLD	E3,OGDC-E3,LAD,GCSL,DLDH
IK	RED,RER
ZNF630	MGC138344,FLJ20573,BC037316,dJ54B20.2
HPD	GLOD3,PPD,4HPPD,4-HPPD
CEP68	KIAA0582
C14orf1	ERG28
TMX2	PDIA12,TXNDC14
PIK3C2A	PI3K-C2alpha
MST1R	PTK8,CDw136,CD136,SEA,RON
PGF	PlGF-2,SHGC-10760,PIGF,PLGF,PGFL,D12S1900,PlGF
PSMD10	p28
ARL5B	ARL8
AHSA1	Aha1,p38,C14orf3,hAha1
CCDC181	FLJ25846,C1orf114
MECP2	MRX16,MRX79,RTT
ALS2	ALS2CR6
ZWINT	KNTC2AP,SIP30,Zwint1
ZFYVE16	KIAA0305,PPP1R69
PLD5	FLJ40773
ZNF35	HF.10,HF10,Zfp105
PRDX3	SP-22,MER5,AOP-1,AOP1
NDUFB5	MGC12314,CI-SGDH,SGDH
CYP2C9	P450IIC9,CYP2C10
AKAP12	AKAP250,SSeCKS
TNNT1	TNTS,MGC104241,FLJ98147,NEM5,TNT,STNT,ANM
TCF25	Nulp1,KIAA1049
CGGBP1	CGGBP,p20-CGGBP
RBM48	DKFZp564O0523,HSPC304,C7orf64
MRC1	CD206,MRC1L1,bA541I19.1,CLEC13D,CLEC13DL
IL7	IL-7
RASSF7	CFAP88,HRC1,HRAS1,C11orf13,FAP88
TMEM132B	KIAA1786,KIAA1906
NUDT14	UGPP
SUSD3	MGC26847
UNC13A	Munc13-1,KIAA1032
SCGB1D2	LPHB,LIPB
PRSS35	C6orf158,MGC46520,dJ223E3.1
DCP2	NUDT20
MROH8	C20orf131,C20orf132,dJ621N11.3,dJ621N11.4
PIG6	SPAG9,FLJ34602,HLC4,FLJ26141,KIAA0516,CT89,PHET,HSS,SYD1,MGC117291,JIP-4,JLP,FLJ13450,JIP4,MGC74461,MGC14967,FLJ14006
SIGLEC7	p75/AIRM1,SIGLEC19P,CD328,SIGLECP2,QA79,SIGLEC-7
SLC4A11	dJ794I6.2,NaBC1,CHED2,FECD4,CDPD1,BTR1
PSTPIP1	CD2BP1L,CD2BP1S,H-PIP,PSTPIP,PAPAS,CD2BP1
SPRY3	HSPRY3
C14orf37	ARMH4
CCT8L2	CESK1
S100PBP	S100PBPR,FLJ12903
NEUROD2	bHLHa1,NDRF
C6orf229	ARMH2
GRK6	GPRK6
RTF1	KIAA0252
IBA57	C1orf69,FLJ12734
RSPH4A	RSHL3,dJ412I7.1,RSPH6B,FLJ37974,CILD11
VWA8	KIAA0564
AGO4	hAGO4,EIF2C4,KIAA1567,FLJ20033
CDK5RAP3	LZAP,OK/SW-cl.114,C53,MST016,HSF-27,FLJ13660,IC53
AGTPBP1	Nna1,CCP1,KIAA1035
BNIP2	Nip2,BNIP-2
CCDC108	CFAP65
ADNP2	KIAA0863,ZNF508
LTB4R	CMKRL1,BLTR,P2RY7,GPR16,LTB4R1,P2Y7
SNRPB	SNRPB1,COD,SmB/SmB',snRNP-B,Sm-B/B'
XCL1	SCM-1a,LPTN,ATAC,SCM-1,LTN,SCYC1
TRIM23	ARD1,RNF46,ARFD1
KLF17	ZNF393,FLJ40160,Zfp393
ANKRD52	FLJ34236,PP6-ARS-C
ABCA4	STGD,FFM,CORD3,ABCR,STGD1,ARMD2,RP19
CCDC185	C1orf65,FLJ35728
SYT14	FLJ34198,sytXIV
MINK1	YSK2,MAP4K6,ZC3,B55,MINK
FAM199X	CXorf39
UBP1	LBP-1a
CHURC1	My015,FLJ33064,C14orf52
ZCCHC7	FLJ22611,AIR1
